id,status,asset_type,chapter_number,chapter_title,paragraph_index,placeholder,nearby_context,prompt,manual_input_required,notes
ASSET-012,ready_for_generation,navigation_panel,1,Foundations of the Journey,51,[Navigation Panel Placeholder | Chapter Overview | Key Stops | QR],"Foundations of the Journey | ""Every memorable journey begins long before departure."" | Editor's Introduction","Vietnam Adventure 2026 travel handbook. Context: Chapter 1: Foundations of the Journey. Nearby handbook content: Foundations of the Journey | ""Every memorable journey begins long before departure."" | Editor's Introduction. Create concise content for a polished navigation panel with three labeled areas: Chapter Overview, Key Stops, and QR Destination. Use only facts established in the nearby content; mark uncertain facts as review-needed.",False,Create as a structured Word callout panel.
ASSET-013,ready_for_generation,hero_image,2,Trip Overview & Travel Planning,73,[Hero Image Placeholder – Full-width chapter opener],"Cross References | Continue to Chapter 2 – Trip Overview & Travel Planning for confirmed bookings, itinerary, weather, budget, and logistics. | CHAPTER 2","Vietnam Adventure 2026 travel handbook. Context: Chapter 2: Trip Overview & Travel Planning. Nearby handbook content: Cross References | Continue to Chapter 2 – Trip Overview & Travel Planning for confirmed bookings, itinerary, weather, budget, and logistics. | CHAPTER 2. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-014,ready_for_generation,navigation_panel,2,Trip Overview & Travel Planning,77,[Navigation Panel Placeholder | Chapter Overview | Key Stops | QR],"Trip Overview & Travel Planning | ""Well-planned journeys create space for unforgettable moments."" | Editor's Introduction","Vietnam Adventure 2026 travel handbook. Context: Chapter 2: Trip Overview & Travel Planning. Nearby handbook content: Trip Overview & Travel Planning | ""Well-planned journeys create space for unforgettable moments."" | Editor's Introduction. Create concise content for a polished navigation panel with three labeled areas: Chapter Overview, Key Stops, and QR Destination. Use only facts established in the nearby content; mark uncertain facts as review-needed.",False,Create as a structured Word callout panel.
ASSET-015,ready_for_generation,hero_image,3,Preparing for Vietnam,99,[Hero Image Placeholder – Full-width chapter opener],Cross References | See Chapter 1 for the handbook philosophy and Chapter 3 for detailed travel preparation guidance. | CHAPTER 3,"Vietnam Adventure 2026 travel handbook. Context: Chapter 3: Preparing for Vietnam. Nearby handbook content: Cross References | See Chapter 1 for the handbook philosophy and Chapter 3 for detailed travel preparation guidance. | CHAPTER 3. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-016,ready_for_generation,navigation_panel,3,Preparing for Vietnam,103,[Navigation Panel Placeholder | Chapter Overview | Key Stops | QR],"Preparing for Vietnam | ""Preparation turns a good trip into a stress-free adventure."" | Editor's Introduction","Vietnam Adventure 2026 travel handbook. Context: Chapter 3: Preparing for Vietnam. Nearby handbook content: Preparing for Vietnam | ""Preparation turns a good trip into a stress-free adventure."" | Editor's Introduction. Create concise content for a polished navigation panel with three labeled areas: Chapter Overview, Key Stops, and QR Destination. Use only facts established in the nearby content; mark uncertain facts as review-needed.",False,Create as a structured Word callout panel.
ASSET-017,ready_for_generation,timeline_graphic,3,Preparing for Vietnam,106,[Timeline Graphic Placeholder],"This chapter prepares you for departure by consolidating planning tasks, travel documents, health considerations, finances, connectivity, clothing, and packing into a practical reference. | Preparation Timeline | Organize tasks into 90-day, 60-day, 30-day, 7-day, and departure-day milestones to reduce last-minute stress.","Vietnam Adventure 2026 travel handbook. Context: Chapter 3: Preparing for Vietnam. Nearby handbook content: This chapter prepares you for departure by consolidating planning tasks, travel documents, health considerations, finances, connectivity, clothing, and packing into a practical reference. | Preparation Timeline | Organize tasks into 90-day, 60-day, 30-day, 7-day, and departure-day milestones to reduce last-minute stress.. Create a clean horizontal travel timeline showing the sequence of events already described in the nearby content. Use short labels and restrained colors.",False,Create as a clean horizontal itinerary timeline.
ASSET-018,ready_for_generation,packing_planner,3,Preparing for Vietnam,113,[Packing Planner Placeholder],"Money & Connectivity | Plan cash, cards, and mobile connectivity before leaving the Philippines. | Packing Strategy","Vietnam Adventure 2026 travel handbook. Context: Chapter 3: Preparing for Vietnam. Nearby handbook content: Money & Connectivity | Plan cash, cards, and mobile connectivity before leaving the Philippines. | Packing Strategy. Create a printable packing checklist organized by essentials, clothing, health, technology, and documents. Keep all entries relevant to this chapter.",False,Create as a printable checklist worksheet.
ASSET-019,ready_for_generation,hero_image,4,Departure Day & Manila Airport Guide,137,[Hero Image Placeholder – Full-width chapter opener],Cross References | See Chapter 2 for the confirmed itinerary and Chapter 4 for departure-day procedures. | CHAPTER 4,"Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: Cross References | See Chapter 2 for the confirmed itinerary and Chapter 4 for departure-day procedures. | CHAPTER 4. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-020,ready_for_generation,navigation_panel,4,Departure Day & Manila Airport Guide,141,[Navigation Panel Placeholder | Chapter Overview | Key Stops | QR],"Departure Day & Manila Airport Guide | ""The adventure truly begins the moment you leave home."" | Editor's Introduction","Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: Departure Day & Manila Airport Guide | ""The adventure truly begins the moment you leave home."" | Editor's Introduction. Create concise content for a polished navigation panel with three labeled areas: Chapter Overview, Key Stops, and QR Destination. Use only facts established in the nearby content; mark uncertain facts as review-needed.",False,Create as a structured Word callout panel.
ASSET-021,ready_for_generation,icon_set,4,Departure Day & Manila Airport Guide,144,[Icon Set Placeholder],"Departure day transforms months of preparation into reality. This opening section focuses on leaving home confidently, arriving at NAIA with enough time, and beginning the journey in an organized, low-stress manner. | Quick Facts | Departure Day Overview","Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: Departure day transforms months of preparation into reality. This opening section focuses on leaving home confidently, arriving at NAIA with enough time, and beginning the journey in an organized, low-stress manner. | Quick Facts | Departure Day Overview. Create a cohesive set of six simple line icons for this chapter. Use one-color teal and navy styling, no text, clear at small print size.",False,Create as a consistent monochrome icon set.
ASSET-022,ready_for_generation,hero_image,4,Departure Day & Manila Airport Guide,166,[Hero Image Placeholder – Full-width chapter opener],"Allow extra time for restroom breaks, baggage handling, and walking inside the terminal. | CHAPTER 4 – Block 2 | Departure Procedures at NAIA","Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: Allow extra time for restroom breaks, baggage handling, and walking inside the terminal. | CHAPTER 4 – Block 2 | Departure Procedures at NAIA. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-023,ready_for_generation,timeline_graphic,4,Departure Day & Manila Airport Guide,171,[Timeline Graphic Placeholder],Traveling to NAIA Terminal | Plan to arrive at NAIA at least three hours before your international departure. Allow additional time during peak traffic and when travelling with a senior companion. | Departure Timeline,Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: Traveling to NAIA Terminal | Plan to arrive at NAIA at least three hours before your international departure. Allow additional time during peak traffic and when travelling with a senior companion. | Departure Timeline. Create a clean horizontal travel timeline showing the sequence of events already described in the nearby content. Use short labels and restrained colors.,False,Create as a clean horizontal itinerary timeline.
ASSET-024,ready_for_generation,hero_image,4,Departure Day & Manila Airport Guide,192,[Hero Image Placeholder – Full-width chapter opener],"Continue to Block 3 for boarding, in-flight guidance, and arrival at Noi Bai International Airport. | CHAPTER 4 – Block 3 | Boarding & Arrival","Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: Continue to Block 3 for boarding, in-flight guidance, and arrival at Noi Bai International Airport. | CHAPTER 4 – Block 3 | Boarding & Arrival. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-025,ready_for_generation,hero_image,4,Departure Day & Manila Airport Guide,219,[Hero Image Placeholder – Full-width chapter opener],Avoid unnecessary airport purchases unless essential. | CHAPTER 4 – Block 4 | Travel Reflection & Chapter Wrap-Up,"Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: Avoid unnecessary airport purchases unless essential. | CHAPTER 4 – Block 4 | Travel Reflection & Chapter Wrap-Up. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-026,ready_for_generation,reflection_journal,4,Departure Day & Manila Airport Guide,221,[Reflection Journal Page Placeholder],CHAPTER 4 – Block 4 | Travel Reflection & Chapter Wrap-Up | Travel Tips,"Vietnam Adventure 2026 travel handbook. Context: Chapter 4: Departure Day & Manila Airport Guide. Nearby handbook content: CHAPTER 4 – Block 4 | Travel Reflection & Chapter Wrap-Up | Travel Tips. Create a guided reflection page with a short prompt, generous writing space, and a restrained travel-handbook visual style.",False,Create as a spacious guided reflection page.
ASSET-027,ready_for_generation,hero_image,5,Arrival in Hanoi & HK Buslines Transfer,255,[Hero Image Placeholder – Full-width chapter opener],"CHAPTER 5 | Arrival in Hanoi & HK Buslines Transfer | ""Every great journey begins with a smooth arrival.""","Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: CHAPTER 5 | Arrival in Hanoi & HK Buslines Transfer | ""Every great journey begins with a smooth arrival."". Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-028,ready_for_generation,navigation_panel,5,Arrival in Hanoi & HK Buslines Transfer,259,[Navigation Panel Placeholder | Chapter Overview | Key Stops | QR],"Arrival in Hanoi & HK Buslines Transfer | ""Every great journey begins with a smooth arrival."" | Editor's Introduction","Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: Arrival in Hanoi & HK Buslines Transfer | ""Every great journey begins with a smooth arrival."" | Editor's Introduction. Create concise content for a polished navigation panel with three labeled areas: Chapter Overview, Key Stops, and QR Destination. Use only facts established in the nearby content; mark uncertain facts as review-needed.",False,Create as a structured Word callout panel.
ASSET-029,ready_for_generation,icon_set,5,Arrival in Hanoi & HK Buslines Transfer,262,[Icon Set Placeholder],"After arriving in Hanoi, the first priority is to complete airport formalities efficiently before beginning the overnight transfer to Sa Pa. This section focuses on a calm, organized arrival that sets the tone for the rest of the adventure. | Quick Facts | Arrival at Noi Bai International Airport","Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: After arriving in Hanoi, the first priority is to complete airport formalities efficiently before beginning the overnight transfer to Sa Pa. This section focuses on a calm, organized arrival that sets the tone for the rest of the adventure. | Quick Facts | Arrival at Noi Bai International Airport. Create a cohesive set of six simple line icons for this chapter. Use one-color teal and navy styling, no text, clear at small print size.",False,Create as a consistent monochrome icon set.
ASSET-030,ready_for_generation,timeline_graphic,5,Arrival in Hanoi & HK Buslines Transfer,266,[Timeline Graphic Placeholder],"Arrival at Noi Bai International Airport | After landing on Philippine Airlines PR595, follow the signs to Immigration. Keep your passport, boarding pass, hotel details, and onward transportation information readily accessible to help the arrival process proceed smoothly. | Arrival Process Timeline","Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: Arrival at Noi Bai International Airport | After landing on Philippine Airlines PR595, follow the signs to Immigration. Keep your passport, boarding pass, hotel details, and onward transportation information readily accessible to help the arrival process proceed smoothly. | Arrival Process Timeline. Create a clean horizontal travel timeline showing the sequence of events already described in the nearby content. Use short labels and restrained colors.",False,Create as a clean horizontal itinerary timeline.
ASSET-031,ready_for_generation,hero_image,5,Arrival in Hanoi & HK Buslines Transfer,277,[Hero Image Placeholder – Full-width chapter opener],Senior-Friendly Advice | Allow extra time for walking and baggage collection; request airport assistance if needed. | CHAPTER 5 – Block 1B,"Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: Senior-Friendly Advice | Allow extra time for walking and baggage collection; request airport assistance if needed. | CHAPTER 5 – Block 1B. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-032,ready_for_generation,hero_image,5,Arrival in Hanoi & HK Buslines Transfer,295,[Hero Image Placeholder – Full-width chapter opener],Budget Tip | Avoid exchanging all your money at the airport; compare rates later in the city. | CHAPTER 5 – Block 2,"Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: Budget Tip | Avoid exchanging all your money at the airport; compare rates later in the city. | CHAPTER 5 – Block 2. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-033,ready_for_generation,timeline_graphic,5,Arrival in Hanoi & HK Buslines Transfer,301,[Timeline Graphic Placeholder],"Finding HK Buslines | Exit the arrivals hall and proceed to Terminal 2, Pillar 01, the confirmed HK Buslines pickup location. | Airport-to-Bus Transfer Timeline","Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: Finding HK Buslines | Exit the arrivals hall and proceed to Terminal 2, Pillar 01, the confirmed HK Buslines pickup location. | Airport-to-Bus Transfer Timeline. Create a clean horizontal travel timeline showing the sequence of events already described in the nearby content. Use short labels and restrained colors.",False,Create as a clean horizontal itinerary timeline.
ASSET-034,ready_for_generation,hero_image,5,Arrival in Hanoi & HK Buslines Transfer,319,[Hero Image Placeholder – Full-width chapter opener],Budget Tip | Purchase only essential snacks and save most spending for Sa Pa. | CHAPTER 5 – Block 3,"Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: Budget Tip | Purchase only essential snacks and save most spending for Sa Pa. | CHAPTER 5 – Block 3. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-035,ready_for_generation,timeline_graphic,5,Arrival in Hanoi & HK Buslines Transfer,324,[Timeline Graphic Placeholder],"HK Buslines Sleeper Bus Experience | The confirmed Lower Single Cabin provides greater privacy and comfort for the overnight journey. Expect reclining sleeping berths, air conditioning, scheduled rest stops, and limited access to checked luggage while the bus is in motion. | Overnight Journey Timeline","Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: HK Buslines Sleeper Bus Experience | The confirmed Lower Single Cabin provides greater privacy and comfort for the overnight journey. Expect reclining sleeping berths, air conditioning, scheduled rest stops, and limited access to checked luggage while the bus is in motion. | Overnight Journey Timeline. Create a clean horizontal travel timeline showing the sequence of events already described in the nearby content. Use short labels and restrained colors.",False,Create as a clean horizontal itinerary timeline.
ASSET-036,ready_for_generation,hero_image,5,Arrival in Hanoi & HK Buslines Transfer,351,[Hero Image Placeholder – Full-width chapter opener],Budget Tip | Bring small denomination cash for refreshments during rest stops. | CHAPTER 5 – Block 4,"Vietnam Adventure 2026 travel handbook. Context: Chapter 5: Arrival in Hanoi & HK Buslines Transfer. Nearby handbook content: Budget Tip | Bring small denomination cash for refreshments during rest stops. | CHAPTER 5 – Block 4. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-037,ready_for_generation,hero_image,6,Sa Pa Arrival & Orientation,388,[Hero Image Placeholder – Full-width chapter opener],"CHAPTER 6 | Sa Pa Arrival & Orientation | ""Every mountain journey deserves a gentle beginning.""","Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: CHAPTER 6 | Sa Pa Arrival & Orientation | ""Every mountain journey deserves a gentle beginning."". Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-038,ready_for_generation,navigation_panel,6,Sa Pa Arrival & Orientation,392,[Navigation Panel Placeholder | Chapter Overview | Key Stops | QR],"Sa Pa Arrival & Orientation | ""Every mountain journey deserves a gentle beginning."" | Editor's Introduction","Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: Sa Pa Arrival & Orientation | ""Every mountain journey deserves a gentle beginning."" | Editor's Introduction. Create concise content for a polished navigation panel with three labeled areas: Chapter Overview, Key Stops, and QR Destination. Use only facts established in the nearby content; mark uncertain facts as review-needed.",False,Create as a structured Word callout panel.
ASSET-039,ready_for_generation,icon_set,6,Sa Pa Arrival & Orientation,395,[Icon Set Placeholder],"After the overnight transfer from Hanoi, your arrival in Sa Pa marks the beginning of the mountain portion of the adventure. This opening section focuses on arriving comfortably, settling into the slower pace of the town, and preparing for the days ahead. | Quick Facts | First Impressions of Sa Pa","Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: After the overnight transfer from Hanoi, your arrival in Sa Pa marks the beginning of the mountain portion of the adventure. This opening section focuses on arriving comfortably, settling into the slower pace of the town, and preparing for the days ahead. | Quick Facts | First Impressions of Sa Pa. Create a cohesive set of six simple line icons for this chapter. Use one-color teal and navy styling, no text, clear at small print size.",False,Create as a consistent monochrome icon set.
ASSET-040,ready_for_generation,timeline_graphic,6,Sa Pa Arrival & Orientation,401,[Timeline Graphic Placeholder],"Arriving at the HK Buslines Drop-off Point | Before leaving the bus, collect all luggage and confirm that passports, wallets, phones, chargers, and other personal belongings are accounted for. | Arrival in Sa Pa Timeline","Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: Arriving at the HK Buslines Drop-off Point | Before leaving the bus, collect all luggage and confirm that passports, wallets, phones, chargers, and other personal belongings are accounted for. | Arrival in Sa Pa Timeline. Create a clean horizontal travel timeline showing the sequence of events already described in the nearby content. Use short labels and restrained colors.",False,Create as a clean horizontal itinerary timeline.
ASSET-041,ready_for_generation,hero_image,6,Sa Pa Arrival & Orientation,412,[Hero Image Placeholder – Full-width chapter opener],Senior-Friendly Advice | Allow extra time for walking and use local transport if carrying heavy luggage or navigating steep roads. | CHAPTER 6 – Block 1B,"Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: Senior-Friendly Advice | Allow extra time for walking and use local transport if carrying heavy luggage or navigating steep roads. | CHAPTER 6 – Block 1B. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-042,ready_for_generation,hero_image,6,Sa Pa Arrival & Orientation,430,[Hero Image Placeholder – Full-width chapter opener],Budget Tip | Walking can save transport costs when conditions are favorable. | CHAPTER 6 – Block 2,"Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: Budget Tip | Walking can save transport costs when conditions are favorable. | CHAPTER 6 – Block 2. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-043,ready_for_generation,hero_image,6,Sa Pa Arrival & Orientation,451,[Hero Image Placeholder – Full-width chapter opener],Budget Tip | Walking to nearby establishments can reduce transport expenses. | CHAPTER 6 – Block 3,"Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: Budget Tip | Walking to nearby establishments can reduce transport expenses. | CHAPTER 6 – Block 3. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-044,ready_for_generation,hero_image,6,Sa Pa Arrival & Orientation,472,[Hero Image Placeholder – Full-width chapter opener],Budget Tip | Walking short distances helps save transportation costs. | CHAPTER 6 – Block 4,"Vietnam Adventure 2026 travel handbook. Context: Chapter 6: Sa Pa Arrival & Orientation. Nearby handbook content: Budget Tip | Walking short distances helps save transportation costs. | CHAPTER 6 – Block 4. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-045,ready_for_generation,hero_image,7,Exploring Sa Pa Town,508,[Hero Image Placeholder – Full-width chapter opener],"CHAPTER 7 | Exploring Sa Pa Town | ""The best way to discover Sa Pa is one relaxed step at a time.""","Vietnam Adventure 2026 travel handbook. Context: Chapter 7: Exploring Sa Pa Town. Nearby handbook content: CHAPTER 7 | Exploring Sa Pa Town | ""The best way to discover Sa Pa is one relaxed step at a time."". Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
ASSET-046,ready_for_generation,navigation_panel,7,Exploring Sa Pa Town,512,[Navigation Panel Placeholder | Chapter Overview | Key Stops | QR],"Exploring Sa Pa Town | ""The best way to discover Sa Pa is one relaxed step at a time."" | Editor's Introduction","Vietnam Adventure 2026 travel handbook. Context: Chapter 7: Exploring Sa Pa Town. Nearby handbook content: Exploring Sa Pa Town | ""The best way to discover Sa Pa is one relaxed step at a time."" | Editor's Introduction. Create concise content for a polished navigation panel with three labeled areas: Chapter Overview, Key Stops, and QR Destination. Use only facts established in the nearby content; mark uncertain facts as review-needed.",False,Create as a structured Word callout panel.
ASSET-047,ready_for_generation,icon_set,7,Exploring Sa Pa Town,515,[Icon Set Placeholder],"Sa Pa Town is best appreciated at a leisurely pace. This chapter introduces a gentle walking experience focused on scenic streets, cafés, markets, and the welcoming atmosphere of the mountain town. Dedicated chapters cover Fansipan and other optional excursions separately. | Quick Facts | Introduction to Sa Pa Town","Vietnam Adventure 2026 travel handbook. Context: Chapter 7: Exploring Sa Pa Town. Nearby handbook content: Sa Pa Town is best appreciated at a leisurely pace. This chapter introduces a gentle walking experience focused on scenic streets, cafés, markets, and the welcoming atmosphere of the mountain town. Dedicated chapters cover Fansipan and other optional excursions separately. | Quick Facts | Introduction to Sa Pa Town. Create a cohesive set of six simple line icons for this chapter. Use one-color teal and navy styling, no text, clear at small print size.",False,Create as a consistent monochrome icon set.
ASSET-048,ready_for_generation,route_map,7,Exploring Sa Pa Town,520,[Map / Route Diagram Placeholder],"Sa Pa Town blends mountain scenery, local culture, cafés, markets, and relaxed streets. This walking-oriented chapter emphasizes enjoying the atmosphere without rushing, while leaving Fansipan and Rong May Glass Bridge to their dedicated chapters. | Walking Tour Overview | Suggested Route","Vietnam Adventure 2026 travel handbook. Context: Chapter 7: Exploring Sa Pa Town. Nearby handbook content: Sa Pa Town blends mountain scenery, local culture, cafés, markets, and relaxed streets. This walking-oriented chapter emphasizes enjoying the atmosphere without rushing, while leaving Fansipan and Rong May Glass Bridge to their dedicated chapters. | Walking Tour Overview | Suggested Route. Create a simplified editorial route diagram showing only the locations and movement stated in the nearby content. Do not invent geography or routes.",False,"Create as a simplified route diagram, not a navigation map."
